Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,6,129,3,Some Random Commen with Id 0
1,0,6,195,0,Some Random Commen with Id 1
2,0,6,171,6,Some Random Commen with Id 2
3,0,6,136,0,Some Random Commen with Id 3
4,1,2,179,3,Some Random Commen with Id 4
5,1,2,80,3,Some Random Commen with Id 5
6,1,2,25,6,Some Random Commen with Id 6
7,1,2,28,7,Some Random Commen with Id 7
8,1,2,32,1,Some Random Commen with Id 8
9,1,2,186,1,Some Random Commen with Id 9
10,1,2,196,4,Some Random Commen with Id 10
11,1,2,42,7,Some Random Commen with Id 11
12,1,2,77,4,Some Random Commen with Id 12
13,2,2,22,6,Some Random Commen with Id 13
14,2,2,128,2,Some Random Commen with Id 14
15,2,2,137,0,Some Random Commen with Id 15
16,2,2,150,6,Some Random Commen with Id 16
17,2,2,69,3,Some Random Commen with Id 17
18,2,2,33,7,Some Random Commen with Id 18
19,2,2,146,3,Some Random Commen with Id 19
20,2,2,100,7,Some Random Commen with Id 20
21,3,9,47,0,Some Random Commen with Id 21
22,3,9,177,1,Some Random Commen with Id 22
23,3,9,66,6,Some Random Commen with Id 23
24,4,9,63,2,Some Random Commen with Id 24
25,4,9,164,8,Some Random Commen with Id 25
26,4,9,160,4,Some Random Commen with Id 26
27,4,9,197,6,Some Random Commen with Id 27
28,6,1,150,9,Some Random Commen with Id 28
29,6,1,28,1,Some Random Commen with Id 29
30,7,3,26,3,Some Random Commen with Id 30
31,7,3,124,5,Some Random Commen with Id 31
32,7,3,151,6,Some Random Commen with Id 32
33,7,3,164,7,Some Random Commen with Id 33
34,7,3,38,5,Some Random Commen with Id 34
35,7,3,185,8,Some Random Commen with Id 35
36,7,3,2,0,Some Random Commen with Id 36
37,7,3,118,6,Some Random Commen with Id 37
38,7,3,15,4,Some Random Commen with Id 38
39,8,9,152,9,Some Random Commen with Id 39
40,8,9,83,2,Some Random Commen with Id 40
41,8,9,106,1,Some Random Commen with Id 41
42,8,9,45,3,Some Random Commen with Id 42
43,8,9,152,3,Some Random Commen with Id 43
44,8,9,178,5,Some Random Commen with Id 44
45,8,9,8,8,Some Random Commen with Id 45
46,9,3,51,2,Some Random Commen with Id 46
47,9,3,158,3,Some Random Commen with Id 47
48,9,3,65,1,Some Random Commen with Id 48
49,9,3,74,4,Some Random Commen with Id 49
50,9,3,26,0,Some Random Commen with Id 50
51,9,3,109,7,Some Random Commen with Id 51
52,9,3,74,1,Some Random Commen with Id 52
53,9,3,197,4,Some Random Commen with Id 53
54,10,0,134,6,Some Random Commen with Id 54
55,10,0,71,6,Some Random Commen with Id 55
56,10,0,41,1,Some Random Commen with Id 56
57,10,0,190,1,Some Random Commen with Id 57
58,10,0,9,9,Some Random Commen with Id 58
59,10,0,72,0,Some Random Commen with Id 59
60,10,0,6,0,Some Random Commen with Id 60
61,10,0,96,7,Some Random Commen with Id 61
62,10,0,139,5,Some Random Commen with Id 62
63,11,8,105,6,Some Random Commen with Id 63
64,11,8,142,3,Some Random Commen with Id 64
65,12,5,89,0,Some Random Commen with Id 65
66,12,5,153,8,Some Random Commen with Id 66
67,12,5,116,9,Some Random Commen with Id 67
68,13,1,48,0,Some Random Commen with Id 68
69,13,1,21,6,Some Random Commen with Id 69
70,13,1,121,8,Some Random Commen with Id 70
71,13,1,182,8,Some Random Commen with Id 71
72,13,1,31,2,Some Random Commen with Id 72
73,13,1,167,2,Some Random Commen with Id 73
74,14,6,117,0,Some Random Commen with Id 74
75,14,6,101,9,Some Random Commen with Id 75
76,14,6,27,1,Some Random Commen with Id 76
77,14,6,90,6,Some Random Commen with Id 77
78,14,6,63,9,Some Random Commen with Id 78
79,15,5,80,8,Some Random Commen with Id 79
80,15,5,29,2,Some Random Commen with Id 80
81,15,5,35,3,Some Random Commen with Id 81
82,15,5,99,2,Some Random Commen with Id 82
83,17,9,187,5,Some Random Commen with Id 83
84,18,5,53,5,Some Random Commen with Id 84
85,18,5,75,3,Some Random Commen with Id 85
86,18,5,73,2,Some Random Commen with Id 86
87,18,5,110,1,Some Random Commen with Id 87
88,18,5,83,0,Some Random Commen with Id 88
89,18,5,104,9,Some Random Commen with Id 89
90,18,5,170,7,Some Random Commen with Id 90
91,19,8,46,8,Some Random Commen with Id 91
92,19,8,98,8,Some Random Commen with Id 92
93,19,8,86,1,Some Random Commen with Id 93
94,19,8,42,6,Some Random Commen with Id 94
95,19,8,134,2,Some Random Commen with Id 95
96,19,8,7,9,Some Random Commen with Id 96
97,19,8,85,9,Some Random Commen with Id 97
98,19,8,181,8,Some Random Commen with Id 98
99,19,8,44,7,Some Random Commen with Id 99
100,20,8,82,3,Some Random Commen with Id 100
101,20,8,109,5,Some Random Commen with Id 101
102,20,8,149,1,Some Random Commen with Id 102
103,20,8,103,4,Some Random Commen with Id 103
104,20,8,76,5,Some Random Commen with Id 104
105,21,5,23,9,Some Random Commen with Id 105
106,21,5,24,2,Some Random Commen with Id 106
107,22,2,139,1,Some Random Commen with Id 107
108,22,2,66,5,Some Random Commen with Id 108
109,22,2,11,9,Some Random Commen with Id 109
110,22,2,111,8,Some Random Commen with Id 110
111,22,2,62,0,Some Random Commen with Id 111
112,22,2,153,8,Some Random Commen with Id 112
